Date,Customer Name,Gender,Annual Income,Dealer_Name,Company,Model,Transmission,Color,Price ($),Dealer_No ,Body Style,Phone,Dealer_Region,Discount,Discounted Ammount,Special extra Discount from the Dealer of SUV (20%)
2023-10-18,Mia,Male,1922000,Rabun Used Car Sales,Lexus,GS300,Manual,Black,51200,85257-3102,Passenger,6698203,Scottsdale,10%,"$5,120.00",
2023-10-19,Michelle,Female,13500,Race Car Help,BMW,323i,Auto,Pale White,19000,78758-7841,Hatchback,8175951,Austin,10%,"$1,900.00",
2023-10-20,Samuel,Male,13500,Progressive Shippers Cooperative Association No,Porsche,Carrera Coupe,Manual,Pale White,26000,53546-9427,Hardtop,6297123,Janesville,10%,"$2,600.00",
2023-10-21,Wilson,Male,13500,C & M Motors Inc,Chevrolet,Malibu,Manual,Pale White,14000,60504-7114,Hardtop,6457346,Aurora,10%,"$1,400.00",
2023-10-22,Manon,Male,670000,U-Haul CO,Dodge,Intrepid,Manual,Black,11000,78758-7841,Sedan,6871530,Austin,10%,"$1,100.00",
2023-10-23,Romane,Female,2200000,Buddy Storbeck's Diesel Service Inc,Hyundai,Elantra,Manual,Pale White,26000,06457-3834,Sedan,7298842,Middletown,10%,"$2,600.00",
2023-10-24,Mae,Male,13500,C & M Motors Inc,Mitsubishi,Diamante,Manual,Pale White,19000,60504-7114,Hatchback,7395758,Aurora,10%,"$1,900.00",
2023-10-25,Antoine,Male,2385000,Capitol KIA,Lexus,GS400,Auto,Pale White,31500,38701-8047,Hatchback,8094001,Greenville,10%,"$3,150.00",
2023-10-26,Lilian,Male,1935000,Chrysler of Tri-Cities,Porsche,Carrera Cabrio,Auto,Pale White,32500,99301-3882,Passenger,6460680,Pasco,10%,"$3,250.00",
2023-10-27,Justin,Female,13500,Clay Johnson Auto Sales,Chrysler,Concorde,Auto,Pale White,46000,78758-7841,Hatchback,6047744,Pasco,10%,"$4,600.00",
2023-10-28,Kai,Male,560000,Diehl Motor CO Inc,Chrysler,LHS,Auto,Black,26000,06457-3834,Hatchback,8695032,Janesville,10%,"$2,600.00",
2023-10-29,Kevin,Male,340000,Enterprise Rent A Car,Volvo,C70,Manual,Pale White,82000,60504-7114,Hatchback,8690167,Scottsdale,10%,"$8,200.00",
2023-10-30,Kingsley,Female,1101000,Gartner Buick Hyundai Saab,Toyota,Sienna,Manual,Pale White,19100,38701-8047,Passenger,7293514,Austin,10%,"$1,910.00",
2023-10-31,Kyle,Male,13500,Hatfield Volkswagen,Chrysler,LHS,Auto,Black,26000,99301-3882,Hatchback,8436885,Janesville,10%,"$2,600.00",
2023-11-01,Lawrence,Male,870000,Iceberg Rentals,BMW,528i,Manual,Pale White,29000,53546-9427,SUV,7077011,Scottsdale,10%,"$2,900.00",
2023-11-02,Leo,Male,13500,McKinney Dodge Chrysler Jeep,Cadillac,DeVille,Auto,Pale White,69000,85257-3102,SUV,8369000,Austin,10%,"$6,900.00",
2023-11-03,Natalia,Male,2850000,Ryder Truck Rental and Leasing,Oldsmobile,Aurora,Auto,Pale White,24000,06457-3834,Passenger,7647213,Middletown,10%,"$2,400.00",
2023-11-04,Natalie,Male,1850000,Saab-Belle Dodge,Chrysler,LHS,Auto,Pale White,16000,60504-7114,Hatchback,7963029,Aurora,10%,"$1,600.00",
2023-11-05,Nataly,Male,13500,Scrivener Performance Engineering,Ford,Focus,Manual,Black,49000,38701-8047,SUV,6762376,Greenville,10%,"$4,900.00",
2023-11-06,Salvatore,Male,840500,Gartner Buick Hyundai Saab,Subaru,Outback,Manual,Pale White,49500,38701-8047,SUV,6630663,Greenville,10%,"$4,950.00",
2023-11-07,Sam,Male,876000,Hatfield Volkswagen,BMW,528i,Auto,Black,31000,99301-3882,SUV,7052296,Pasco,10%,"$3,100.00",
2023-11-08,Samir,Male,1995000,Iceberg Rentals,Plymouth,Neon,Auto,Pale White,27500,53546-9427,SUV,7485792,Janesville,10%,"$2,750.00",
2023-11-09,Mikayla,Female,1850000,Ryder Truck Rental and Leasing,Acura,TL,Manual,Black,21000,06457-3834,Hatchback,8455241,Middletown,10%,"$2,100.00",
2023-11-10,Mila,Male,2000000,Saab-Belle Dodge,Pontiac,Firebird,Manual,Black,43000,60504-7114,Hatchback,8518048,Aurora,10%,"$4,300.00",
2023-11-11,Milan,Male,700000,Scrivener Performance Engineering,Audi,A6,Manual,Black,15000,38701-8047,SUV,6364671,Greenville,10%,"$1,500.00",
2023-11-12,Axelle,Male,13500,Chrysler Plymouth,Dodge,Ram Van,Auto,Pale White,31000,53546-9427,Hatchback,8136922,Janesville,10%,"$3,100.00",
2023-11-13,Thomas,Male,757500,Classic Chevy,Mercury,Sable,Manual,Pale White,61500,85257-3102,Sedan,7685288,Scottsdale,10%,"$6,150.00",
2023-11-14,Nicolas,Male,13500,Clay Johnson Auto Sales,Toyota,Land Cruiser,Auto,Black,21000,78758-7841,SUV,7576050,Austin,10%,"$2,100.00",
2023-11-15,Leon,Female,420000,Motor Vehicle Branch Office,Nissan,Pathfinder,Auto,Pale White,31000,78758-7841,Hatchback,6892551,Middletown,10%,"$3,100.00",
2023-11-16,Liam,Male,643500,Nebo Chevrolet,BMW,328i,Auto,Black,16500,06457-3834,Sedan,7367118,Aurora,10%,"$1,650.00",
2023-11-17,Logan,Female,625000,New Castle Ford Lincoln Mercury,Ford,Crown Victoria,Auto,Pale White,29000,60504-7114,Passenger,6066163,Greenville,10%,"$2,900.00",
2023-11-18,Natasha,Male,1436000,Star Enterprises Inc,Mitsubishi,3000GT,Manual,Pale White,20600,99301-3882,Sedan,6594733,Pasco,10%,"$2,060.00",
2023-11-19,Nathalia,Male,13500,Suburban Ford,Lexus,LX470,Auto,Black,22000,53546-9427,SUV,8853560,Janesville,10%,"$2,200.00",
2023-11-20,Nathalie,Male,1110000,Tri-State Mack Inc,BMW,528i,Auto,Black,31000,85257-3102,SUV,8724372,Scottsdale,10%,"$3,100.00",
2023-11-21,Nathaly,Male,1550000,U-Haul CO,Ford,Explorer,Auto,Pale White,42000,78758-7841,Hatchback,8769804,Austin,10%,"$4,200.00",
2023-11-22,Nayeli,Male,2300000,Buddy Storbeck's Diesel Service Inc,Audi,A6,Manual,Pale White,24000,06457-3834,SUV,7446612,Middletown,10%,"$2,400.00",
2023-11-23,Nevaeh,Male,13500,C & M Motors Inc,Chrysler,Sebring Coupe,Auto,Pale White,22000,60504-7114,Sedan,8795584,Aurora,10%,"$2,200.00",
2023-11-24,Nicole,Male,1550000,Capitol KIA,Cadillac,Eldorado,Manual,Pale White,37000,38701-8047,Passenger,7004631,Greenville,10%,"$3,700.00",
2023-11-25,Nina,Male,1800000,Chrysler of Tri-Cities,Dodge,Ram Wagon,Auto,Black,22000,99301-3882,Passenger,8582417,Pasco,10%,"$2,200.00",
2023-11-26,Noemi,Female,2485000,Chrysler Plymouth,Saturn,SC,Auto,Black,33500,53546-9427,SUV,8002189,Janesville,10%,"$3,350.00",
2023-11-27,Nyla,Male,2120000,Classic Chevy,Volvo,C70,Auto,Black,49001,85257-3102,Hatchback,7616743,Scottsdale,10%,"$4,900.10",
2023-11-28,Olivia,Male,1800000,Clay Johnson Auto Sales,Oldsmobile,Silhouette,Manual,Pale White,25001,78758-7841,Sedan,8520184,Austin,10%,"$2,500.10",
2023-11-29,Paola,Male,1800000,Diehl Motor CO Inc,Mitsubishi,3000GT,Auto,Black,39001,06457-3834,Sedan,7570002,Middletown,10%,"$3,900.10",
2023-11-30,Penelope,Male,13500,Enterprise Rent A Car,Chrysler,300M,Auto,Black,26001,60504-7114,SUV,7415369,Aurora,10%,"$2,600.10",
2023-12-01,Perla,Male,1810000,Gartner Buick Hyundai Saab,Toyota,RAV4,Manual,Black,85001,38701-8047,Hatchback,6388783,Greenville,10%,"$8,500.10",
2023-12-02,Rachel,Male,2615000,Hatfield Volkswagen,Mercedes-B,SLK,Manual,Black,26501,99301-3882,Passenger,8165740,Pasco,10%,"$2,650.10",
2023-12-03,Raquel,Male,2100000,Iceberg Rentals,Nissan,Pathfinder,Manual,Black,22001,53546-9427,SUV,8052947,Janesville,10%,"$2,200.10",
2023-12-04,Samuel,Male,13500,McKinney Dodge Chrysler Jeep,Chevrolet,Lumina,Manual,Pale White,12000,85257-3102,Passenger,7043970,Scottsdale,10%,"$1,200.00",
2023-12-05,Santino,Female,1800000,Motor Vehicle Branch Office,Chevrolet,Corvette,Manual,Black,26000,78758-7841,SUV,8443641,Austin,10%,"$2,600.00",
2023-12-06,Sean,Male,600000,Nebo Chevrolet,Volkswagen,Jetta,Auto,Pale White,33000,06457-3834,Passenger,6325329,Middletown,10%,"$3,300.00",
2023-12-07,Sebastian,Male,797000,New Castle Ford Lincoln Mercury,Dodge,Durango,Auto,Black,19000,60504-7114,SUV,6146754,Aurora,10%,"$1,900.00",
2023-12-08,Shalom,Male,3001000,Pars Auto Sales,Volvo,V40,Auto,Pale White,18100,38701-8047,SUV,6875824,Greenville,10%,"$1,810.00",
2023-12-09,Shane,Male,752000,Pitre Buick-Pontiac-Gmc of Scottsdale,Pontiac,Sunfire,Manual,Pale White,43000,99301-3882,Sedan,6932836,Pasco,10%,"$4,300.00",
2023-12-10,Shaul,Female,685000,Progressive Shippers Cooperative Association No,Mitsubishi,Montero,Manual,Black,16000,53546-9427,SUV,8763502,Janesville,10%,"$1,600.00",
2023-12-11,Shaya,Male,13500,Rabun Used Car Sales,Mercury,Sable,Auto,Pale White,39000,85257-3102,Sedan,6684119,Scottsdale,10%,"$3,900.00",
2023-12-12,Shea,Female,670000,Race Car Help,Mitsubishi,3000GT,Manual,Pale White,21000,78758-7841,Sedan,6772475,Austin,10%,"$2,100.00",
2023-12-13,Shia,Male,705500,Ryder Truck Rental and Leasing,Lexus,GS400,Manual,Black,53500,06457-3834,Hatchback,7082422,Middletown,10%,"$5,350.00",
2023-12-14,Shimon,Male,685000,Saab-Belle Dodge,Acura,RL,Manual,Pale White,17000,60504-7114,SUV,6352675,Aurora,10%,"$1,700.00",
2023-12-15,Calvin,Male,13500,Enterprise Rent A Car,Chevrolet,Prizm,Manual,Black,16000,60504-7114,Hardtop,7651983,Aurora,10%,"$1,600.00",
2023-12-16,Shloimy,Male,511500,Star Enterprises Inc,Saab,3-Sep,Auto,Black,26500,99301-3882,Sedan,8341037,Pasco,10%,"$2,650.00",
2023-12-17,Mohammad,Male,13500,Tri-State Mack Inc,Lexus,ES300,Auto,Pale White,27000,85257-3102,Hardtop,8134310,Austin,10%,"$2,700.00",
2023-12-18,Shlomo,Female,645000,Tri-State Mack Inc,Chrysler,300M,Auto,Pale White,16000,85257-3102,SUV,6161192,Scottsdale,10%,"$1,600.00",
2023-12-19,Shmiel,Female,13500,U-Haul CO,Mercury,Grand Marquis,Manual,Pale White,16000,78758-7841,SUV,6036066,Austin,10%,"$1,600.00",
2023-12-20,Miracle,Male,1890000,Star Enterprises Inc,Chrysler,Town & Country,Manual,Pale White,17000,99301-3882,Sedan,8317341,Pasco,10%,"$1,700.00",
2023-12-21,Morgan,Female,1565000,Suburban Ford,Porsche,Carrera Coupe,Auto,Pale White,22500,53546-9427,Hatchback,7741174,Janesville,10%,"$2,250.00",
2023-12-22,Mya,Male,1630000,Tri-State Mack Inc,Oldsmobile,Silhouette,Manual,Pale White,26000,85257-3102,Sedan,7143669,Scottsdale,10%,"$2,600.00",
2023-12-23,Nahla,Female,13500,U-Haul CO,Dodge,Ram Pickup,Manual,Black,19000,78758-7841,Hatchback,6077625,Austin,10%,"$1,900.00",
2023-12-24,Naomi,Male,13500,Progressive Shippers Cooperative Association No,Ford,Windstar,Auto,Pale White,31000,53546-9427,Sedan,8442971,Janesville,10%,"$3,100.00",
2023-12-25,Nevaeh,Male,800000,Rabun Used Car Sales,Mercury,Sable,Auto,Pale White,39000,85257-3102,Sedan,6434323,Scottsdale,10%,"$3,900.00",
2023-12-26,Nia,Female,13500,Race Car Help,Toyota,Land Cruiser,Auto,Black,21000,78758-7841,SUV,6099899,Austin,10%,"$2,100.00",
2023-12-27,Nova,Female,1025000,Ryder Truck Rental and Leasing,Buick,Park Avenue,Auto,Pale White,62500,06457-3834,Hatchback,7770959,Middletown,10%,"$6,250.00",
2023-12-28,Nyla,Male,13500,Saab-Belle Dodge,Porsche,Carrera Coupe,Manual,Black,16000,60504-7114,Hatchback,8664416,Aurora,10%,"$1,600.00",
2023-12-29,Nylah,Female,13500,Scrivener Performance Engineering,Mercedes-B,S-Class,Manual,Black,18000,38701-8047,SUV,8715850,Greenville,10%,"$1,800.00",
2023-12-30,Olivia,Male,13500,Star Enterprises Inc,Lexus,ES300,Manual,Black,34000,99301-3882,Hatchback,6722600,Pasco,10%,"$3,400.00",
2023-12-31,Oumou,Female,1670000,Suburban Ford,Oldsmobile,Silhouette,Manual,Pale White,26000,53546-9427,Sedan,7381956,Janesville,10%,"$2,600.00",
2024-01-01,Paige,Male,13500,Tri-State Mack Inc,Mercedes-B,S-Class,Auto,Pale White,10000,85257-3102,SUV,8528664,Scottsdale,10%,"$1,000.00",
2024-01-02,Paris,Female,1305000,U-Haul CO,Chevrolet,Prizm,Auto,Pale White,25500,78758-7841,Hatchback,6135948,Austin,10%,"$2,550.00",
2024-01-03,Penelope,Male,1725000,Buddy Storbeck's Diesel Service Inc,Porsche,Carrera Cabrio,Auto,Pale White,20500,06457-3834,Passenger,8151504,Middletown,10%,"$2,050.00",
2024-01-04,Peyton,Male,1110000,C & M Motors Inc,Oldsmobile,Aurora,Auto,Pale White,24000,60504-7114,Passenger,7449262,Aurora,10%,"$2,400.00",
2024-01-05,Lucy,Male,13500,Diehl Motor CO Inc,Mercury,Villager,Manual,Pale White,14000,06457-3834,Passenger,6263525,Middletown,10%,"$1,400.00",
2024-01-06,Hay-Lee,Male,1760000,Enterprise Rent A Car,Nissan,Frontier,Auto,Pale White,18000,60504-7114,Hatchback,7912705,Aurora,10%,"$1,800.00",
2024-01-07,Carine,Female,1325000,Gartner Buick Hyundai Saab,Acura,RL,Manual,Pale White,17500,38701-8047,SUV,6023526,Greenville,10%,"$1,750.00",
2024-01-08,Andre,Male,2000000,Star Enterprises Inc,Mercedes-B,M-Class,Manual,Pale White,25000,99301-3882,Hardtop,7528573,Pasco,10%,"$2,500.00",
2024-01-09,Amelie,Male,355000,Iceberg Rentals,BMW,528i,Manual,Black,21000,53546-9427,SUV,8022456,Janesville,10%,"$2,100.00",
2024-01-10,Owen,Male,1400000,McKinney Dodge Chrysler Jeep,Cadillac,Escalade,Auto,Black,28000,85257-3102,Sedan,6342871,Scottsdale,10%,"$2,800.00",
2024-01-11,Tom,Male,456000,Motor Vehicle Branch Office,Oldsmobile,Silhouette,Auto,Black,60000,78758-7841,Sedan,6750650,Austin,10%,"$6,000.00",
2024-01-12,Amandine,Male,546000,Nebo Chevrolet,Hyundai,Sonata,Manual,Pale White,21000,06457-3834,SUV,6539279,Middletown,10%,"$2,100.00",
2024-01-13,Christopher,Male,13500,Pars Auto Sales,Chevrolet,Malibu,Manual,Pale White,57000,38701-8047,Hardtop,6837486,Greenville,10%,"$5,700.00",
2024-01-14,Justine,Male,615000,Pars Auto Sales,Mercury,Grand Marquis,Auto,Black,9000,38701-8047,SUV,8578439,Greenville,10%,$900.00,
2024-01-15,Clemence,Male,340000,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Cavalier,Manual,Pale White,20000,99301-3882,SUV,6388852,Pasco,10%,"$2,000.00",
2024-01-16,Nina,Male,790000,Progressive Shippers Cooperative Association No,Nissan,Maxima,Manual,Pale White,29000,53546-9427,Sedan,7494828,Janesville,10%,"$2,900.00",
2024-01-17,Darren,Male,1715157,Progressive Shippers Cooperative Association No,Chevrolet,Prizm,Auto,Pale White,15510,53546-9427,Hardtop,8452077,Janesville,10%,"$1,551.00",
2024-01-18,Lea,Male,13500,Race Car Help,Volkswagen,Jetta,Auto,Black,22000,78758-7841,Passenger,8774114,Austin,10%,"$2,200.00",
2024-01-19,Louann,Female,1095000,Ryder Truck Rental and Leasing,Honda,Accord,Manual,Black,43500,06457-3834,Sedan,8518126,Middletown,10%,"$4,350.00",
2024-01-20,Orlane,Male,851500,Saab-Belle Dodge,BMW,328i,Manual,Pale White,21500,60504-7114,Sedan,8674116,Aurora,10%,"$2,150.00",
2024-01-21,Louis,Female,610000,Pars Auto Sales,Saturn,SL,Auto,Pale White,20000,38701-8047,SUV,6928011,Pasco,10%,"$2,000.00",
2024-01-22,Lucas,Female,565000,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Taurus,Auto,Black,12000,99301-3882,SUV,7307787,Janesville,10%,"$1,200.00",
2024-01-23,Luke,Male,572000,Progressive Shippers Cooperative Association No,BMW,323i,Auto,Black,9000,53546-9427,Hatchback,8364695,Scottsdale,10%,$900.00,
2024-01-24,Marcus,Female,1090000,Rabun Used Car Sales,Nissan,Altima,Auto,Pale White,20000,85257-3102,Hatchback,7944509,Austin,10%,"$2,000.00",
2024-01-25,Martin,Female,455000,Race Car Help,Ford,Explorer,Auto,Pale White,42000,78758-7841,Hatchback,7984884,Middletown,10%,"$4,200.00",
2024-01-26,Mason,Male,750000,Ryder Truck Rental and Leasing,Pontiac,Sunfire,Manual,Pale White,28000,06457-3834,Sedan,6585874,Aurora,10%,"$2,800.00",
2024-01-27,Matthew,Male,850000,Saab-Belle Dodge,Lexus,GS400,Auto,Black,12000,60504-7114,Hatchback,6441543,Greenville,10%,"$1,200.00",
2024-01-28,Max,Male,640000,Scrivener Performance Engineering,Pontiac,Bonneville,Manual,Black,36000,38701-8047,Hatchback,8060024,Pasco,10%,"$3,600.00",
2024-01-29,Michael,Male,13500,Star Enterprises Inc,Saturn,LS,Manual,Pale White,14000,99301-3882,Sedan,7257825,Janesville,10%,"$1,400.00",
2024-01-30,Miles,Female,1030000,Suburban Ford,Dodge,Viper,Auto,Pale White,23000,53546-9427,SUV,7973660,Scottsdale,10%,"$2,300.00",
2024-01-31,Mohamed,Male,600000,Tri-State Mack Inc,Ford,Ranger,Manual,Black,18000,85257-3102,Hatchback,6987956,Austin,10%,"$1,800.00",
2024-02-01,Mohammad,Female,13500,U-Haul CO,Mercedes-B,S-Class,Auto,Pale White,14000,78758-7841,SUV,8258579,Middletown,10%,"$1,400.00",
2024-02-02,Mohammed,Female,13500,Progressive Shippers Cooperative Association No,Mercedes-B,C-Class,Manual,Pale White,12000,53546-9427,Hatchback,7861469,Aurora,10%,"$1,200.00",
2024-02-03,Muhammad,Male,386000,Rabun Used Car Sales,Lincoln,Town car,Manual,Black,17000,85257-3102,Hatchback,7174238,Greenville,10%,"$1,700.00",
2024-02-04,Nathan,Male,857000,Race Car Help,Chevrolet,Malibu,Auto,Black,16000,78758-7841,Hatchback,6532602,Pasco,10%,"$1,600.00",
2024-02-05,Nathaniel,Female,13500,Ryder Truck Rental and Leasing,Honda,Accord,Auto,Pale White,19000,06457-3834,Sedan,6001209,Janesville,10%,"$1,900.00",
2024-02-06,Rebecca,Male,1300000,McKinney Dodge Chrysler Jeep,Volvo,C70,Manual,Black,17001,85257-3102,Hatchback,7797157,Scottsdale,10%,"$1,700.10",
2024-02-07,Rihanna,Male,1370000,Motor Vehicle Branch Office,Plymouth,Breeze,Auto,Pale White,22001,78758-7841,SUV,7268434,Austin,10%,"$2,200.10",
2024-02-08,Shmuel,Female,701000,Progressive Shippers Cooperative Association No,Volvo,S40,Manual,Pale White,17000,53546-9427,Sedan,8216814,Janesville,10%,"$1,700.00",
2024-02-09,Shneur,Male,810000,Rabun Used Car Sales,Oldsmobile,Silhouette,Manual,Pale White,34000,85257-3102,Sedan,8334184,Scottsdale,10%,"$3,400.00",
2024-02-10,Phoenix,Male,894000,Capitol KIA,Lexus,LS400,Manual,Pale White,54000,38701-8047,Sedan,7475999,Greenville,10%,"$5,400.00",
2024-02-11,Riley,Male,13500,Chrysler of Tri-Cities,Toyota,Tacoma,Auto,Pale White,53000,99301-3882,Hatchback,6428270,Pasco,10%,"$5,300.00",
2024-02-12,Pierre,Male,920000,Scrivener Performance Engineering,Pontiac,Bonneville,Manual,Pale White,11000,38701-8047,Hatchback,7817888,Greenville,10%,"$1,100.00",
2024-02-13,Jacob,Male,895000,Chrysler Plymouth,Toyota,Tacoma,Auto,Pale White,53000,53546-9427,Hardtop,8653420,Janesville,10%,"$5,300.00",
2024-02-14,Nelson,Male,1160000,Saab-Belle Dodge,Volkswagen,Passat,Auto,Pale White,13000,60504-7114,Hatchback,8711758,Scottsdale,10%,"$1,300.00",
2024-02-15,Nicholas,Male,13500,Scrivener Performance Engineering,Infiniti,I30,Manual,Pale White,22000,38701-8047,Hatchback,6478941,Austin,10%,"$2,200.00",
2024-02-16,Riley,Male,1000000,Nebo Chevrolet,Audi,A6,Auto,Black,14001,06457-3834,SUV,6586282,Middletown,10%,"$1,400.10",
2024-02-17,Rosa,Male,13500,New Castle Ford Lincoln Mercury,Mitsubishi,Diamante,Manual,Black,49000,60504-7114,Hatchback,7645687,Aurora,10%,"$4,900.00",
2024-02-18,Rose,Male,2575000,Pars Auto Sales,Toyota,RAV4,Auto,Pale White,27501,38701-8047,Hatchback,6548230,Greenville,10%,"$2,750.10",
2024-02-19,Roselyn,Male,1322500,Pitre Buick-Pontiac-Gmc of Scottsdale,Volkswagen,Jetta,Auto,Pale White,16251,99301-3882,Passenger,6024425,Pasco,10%,"$1,625.10",
2024-02-20,Sholom,Female,1000000,Race Car Help,Pontiac,Sunfire,Manual,Pale White,43000,78758-7841,Sedan,7759810,Austin,10%,"$4,300.00",
2024-02-21,Shulem,Female,13500,Ryder Truck Rental and Leasing,Mercedes-B,E-Class,Auto,Pale White,15000,06457-3834,Sedan,7921183,Middletown,10%,"$1,500.00",
2024-02-22,Sidney,Male,13500,Saab-Belle Dodge,Chevrolet,Metro,Auto,Pale White,12000,60504-7114,Passenger,6154666,Aurora,10%,"$1,200.00",
2024-02-23,Silas,Female,13500,Scrivener Performance Engineering,Saturn,LS,Auto,Pale White,51000,38701-8047,Sedan,8832415,Greenville,10%,"$5,100.00",
2024-02-24,Samantha,Male,1402000,Chrysler Plymouth,Porsche,Boxter,Manual,Pale White,14200,53546-9427,SUV,7232489,Janesville,10%,"$1,420.00",
2024-02-25,Sanaa,Male,1500000,Classic Chevy,Acura,RL,Auto,Black,24000,85257-3102,SUV,8000061,Scottsdale,10%,"$2,400.00",
2024-02-26,Sanai,Male,13500,Clay Johnson Auto Sales,Hyundai,Elantra,Manual,Pale White,22000,78758-7841,Sedan,6129154,Austin,10%,"$2,200.00",
2024-02-27,Saniyah,Male,1100000,Diehl Motor CO Inc,Mercedes-B,S-Class,Manual,Pale White,21000,06457-3834,SUV,6826319,Middletown,10%,"$2,100.00",
2024-02-28,Nicolas,Male,865000,Suburban Ford,Porsche,Boxter,Manual,Pale White,24000,53546-9427,SUV,8930793,Janesville,10%,"$2,400.00",
2024-02-29,Noah,Male,725000,Tri-State Mack Inc,Oldsmobile,Intrigue,Manual,Pale White,37000,85257-3102,SUV,7870285,Scottsdale,10%,"$3,700.00",
2024-03-01,Elisabeth,Male,1300000,U-Haul CO,Lincoln,Navigator,Manual,Pale White,33000,78758-7841,Sedan,8103828,Austin,10%,"$3,300.00",
2024-03-02,Flavie,Female,911000,Progressive Shippers Cooperative Association No,Acura,RL,Manual,Black,18000,53546-9427,SUV,8628055,Janesville,10%,"$1,800.00",
2024-03-03,Noah,Male,1235000,Star Enterprises Inc,Plymouth,Breeze,Auto,Pale White,39500,99301-3882,Hatchback,8983460,Middletown,10%,"$3,950.00",
2024-03-04,Oliver,Male,752500,Suburban Ford,Pontiac,Bonneville,Auto,Pale White,19500,53546-9427,Hatchback,8345441,Aurora,10%,"$1,950.00",
2024-03-05,Oscar,Male,13500,Tri-State Mack Inc,Chevrolet,Corvette,Auto,Pale White,25000,85257-3102,SUV,7101800,Greenville,10%,"$2,500.00",
2024-03-06,Owen,Male,13500,U-Haul CO,Buick,Regal,Auto,Black,19000,78758-7841,Passenger,7503900,Pasco,10%,"$1,900.00",
2024-03-07,Ruby,Male,13500,Progressive Shippers Cooperative Association No,Volvo,S70,Auto,Black,26001,53546-9427,SUV,6740906,Janesville,10%,"$2,600.10",
2024-03-08,Sabrina,Male,1562500,Rabun Used Car Sales,Oldsmobile,Silhouette,Manual,Pale White,26251,85257-3102,Sedan,8064818,Scottsdale,10%,"$2,625.10",
2024-03-09,Sadie,Male,2000000,Race Car Help,Volkswagen,Passat,Auto,Black,9000,78758-7841,Hatchback,7807481,Austin,10%,$900.00,
2024-03-10,Samantha,Male,13500,Ryder Truck Rental and Leasing,Oldsmobile,Aurora,Manual,Pale White,34000,06457-3834,Passenger,6010659,Middletown,10%,"$3,400.00",
2024-03-11,Samara,Male,13500,Saab-Belle Dodge,Mitsubishi,Diamante,Manual,Pale White,19000,60504-7114,Hatchback,8092134,Aurora,10%,"$1,900.00",
2024-03-12,Sara,Male,1900000,Scrivener Performance Engineering,Volkswagen,GTI,Manual,Black,25000,38701-8047,SUV,8152791,Greenville,10%,"$2,500.00",
2024-03-13,Sarah,Male,3010000,Star Enterprises Inc,Chevrolet,Corvette,Auto,Pale White,25000,99301-3882,SUV,6826177,Pasco,10%,"$2,500.00",
2024-03-14,Sarai,Male,13500,Suburban Ford,Audi,A6,Manual,Pale White,14000,53546-9427,SUV,8836166,Janesville,10%,"$1,400.00",
2024-03-15,Simcha,Female,13500,Star Enterprises Inc,Acura,RL,Manual,Black,18000,99301-3882,SUV,6790398,Pasco,10%,"$1,800.00",
2024-03-16,Clement,Male,1265000,Scrivener Performance Engineering,Chevrolet,Prizm,Auto,Pale White,42500,38701-8047,Hardtop,8551646,Greenville,10%,"$4,250.00",
2024-03-17,Solomon,Male,13500,Tri-State Mack Inc,Ford,Expedition,Auto,Black,41000,85257-3102,SUV,6799776,Scottsdale,10%,"$4,100.00",
2024-03-18,Priscille,Male,1390000,Star Enterprises Inc,Nissan,Pathfinder,Manual,Pale White,16000,99301-3882,Hardtop,8901635,Pasco,10%,"$1,600.00",
2024-03-19,Sarah,Male,13500,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SLK,Manual,Pale White,17000,06457-3834,Passenger,6369393,Middletown,10%,"$1,700.00",
2024-03-20,Sasha,Male,3600000,C & M Motors Inc,Dodge,Avenger,Auto,Pale White,39000,60504-7114,Passenger,8120812,Aurora,10%,"$3,900.00",
2024-03-21,Savannah,Female,13500,Capitol KIA,Mercury,Villager,Auto,Black,28000,38701-8047,Passenger,6597430,Greenville,10%,"$2,800.00",
2024-03-22,Scarlett,Male,815000,Chrysler of Tri-Cities,Mitsubishi,Diamante,Auto,Pale White,21000,99301-3882,Hatchback,8230754,Pasco,10%,"$2,100.00",
2024-03-23,Sarah,Male,2000000,Enterprise Rent A Car,Volkswagen,Passat,Auto,Pale White,13000,60504-7114,Hatchback,8920963,Aurora,10%,"$1,300.00",
2024-03-24,Sarai,Male,710000,Gartner Buick Hyundai Saab,Volkswagen,Beetle,Auto,Pale White,45000,38701-8047,Hatchback,6884967,Greenville,10%,"$4,500.00",
2024-03-25,Sariah,Male,620000,Hatfield Volkswagen,Chevrolet,Malibu,Manual,Pale White,14000,99301-3882,Hatchback,6633607,Pasco,10%,"$1,400.00",
2024-03-26,Savannah,Male,13500,Iceberg Rentals,Subaru,Forester,Manual,Pale White,26000,53546-9427,Hatchback,7697601,Janesville,10%,"$2,600.00",
2024-03-27,Serenity,Female,830000,McKinney Dodge Chrysler Jeep,Hyundai,Sonata,Manual,Pale White,21000,85257-3102,SUV,7297362,Scottsdale,10%,"$2,100.00",
2024-03-28,Shiloh,Male,1105000,Motor Vehicle Branch Office,Dodge,Durango,Auto,Pale White,10500,78758-7841,SUV,7149864,Austin,10%,"$1,050.00",
